'PaperIII.Theorem_1_1' depends on axioms: [propext, Classical.choice, Quot.sound]
'PaperIII.Corollary_1_2' depends on axioms: [propext, Classical.choice, Quot.sound]
'PaperIII.AX1_holds' depends on axioms: [propext, Classical.choice, Quot.sound]
'PaperIII.AX2_holds' depends on axioms: [propext, Classical.choice, Quot.sound]
'PaperIII.Theorem_1_1_of_splitPartition_uncond' depends on axioms: [propext, Classical.choice, Quot.sound]
'PaperIII.Corollary_1_2_sharp' depends on axioms: [propext, Classical.choice, Quot.sound]
'PaperIII.PublicAPI_nu3_achieved' depends on axioms: [propext, Classical.choice, Quot.sound]
'PaperIII.PublicAPI_localization_from_eventual_high_degree' depends on axioms: [propext, Classical.choice, Quot.sound]
'PaperIII.nu3_eq_yuster' depends on axioms: [propext, Classical.choice, Quot.sound]
'PaperIII.nu3Star_eq_yuster' depends on axioms: [propext, Classical.choice, Quot.sound]
'PaperIII.tau3Star_eq_nu3Star' depends on axioms: [propext, Classical.choice, Quot.sound]
'PaperIII.AX1Assumption_iff_packing_form' depends on axioms: [propext, Classical.choice, Quot.sound]
